state,office,district,potential_power,pr_close,pr_tip,realized_power
TX,ushouse,16,12.5,0.1758689140605076,0.0014,0.0030777059960588825
IL,ushouse,7,12.5,0.1758689140605076,0.0014,0.0030777059960588825
NC,ushouse,4,12.5,0.1758689140605076,0.0014,0.0030777059960588825
NY,ushouse,19,12.5,0.1758689140605076,0.0014,0.0030777059960588825
MO,ushouse,5,12.5,0.1758689140605076,0.0014,0.0030777059960588825
MA,ushouse,7,12.5,0.1758689140605076,0.0014,0.0030777059960588825
MD,ushouse,2,12.5,0.1758689140605076,0.0014,0.0030777059960588825
IN,ushouse,1,12.5,0.1758689140605076,0.0014,0.0030777059960588825
GA,ushouse,4,12.5,0.1758689140605076,0.0014,0.0030777059960588825
TX,ushouse,34,12.5,0.1758689140605076,0.0014,0.0030777059960588825
TX,ushouse,29,12.5,0.1758689140605076,0.0014,0.0030777059960588825
ME,president,,25.0,0.06063779823053885,0.001975,0.002993991287632856
IL,statehouse,,0.48679508853561504,0.005949950859522134,1.0,0.002896406855443636
GA,statesenate,,0.4019148113011762,0.007111949014449844,1.0,0.002858397646126195
CA,ushouse,10,12.5,0.1758689140605076,0.0013,0.002857869853483248
AZ,ushouse,9,12.5,0.1758689140605076,0.0013,0.002857869853483248
NC,ushouse,12,12.5,0.1758689140605076,0.0013,0.002857869853483248
FL,ushouse,21,12.5,0.1758689140605076,0.0013,0.002857869853483248
WA,ushouse,7,12.5,0.1758689140605076,0.0013,0.002857869853483248
WA,ushouse,8,12.5,0.1758689140605076,0.0013,0.002857869853483248
AL,ushouse,7,12.5,0.1758689140605076,0.0013,0.002857869853483248
FL,ushouse,9,12.5,0.1758689140605076,0.0013,0.002857869853483248
AZ,ushouse,7,12.5,0.1758689140605076,0.0013,0.002857869853483248
WA,ushouse,10,12.5,0.1758689140605076,0.0013,0.002857869853483248
PA,ushouse,6,12.5,0.1758689140605076,0.0013,0.002857869853483248
NY,ushouse,18,12.5,0.1758689140605076,0.0013,0.002857869853483248
WI,ushouse,4,12.5,0.1758689140605076,0.0013,0.002857869853483248
CA,ushouse,47,12.5,0.1758689140605076,0.0013,0.002857869853483248
FL,ushouse,5,12.5,0.1758689140605076,0.0013,0.002857869853483248
AK,ushouse,1,12.5,0.1758689140605076,0.0013,0.002857869853483248
IL,ushouse,17,12.5,0.1758689140605076,0.0013,0.002857869853483248
IL,ushouse,8,12.5,0.1758689140605076,0.0013,0.002857869853483248
NY,ushouse,25,12.5,0.1758689140605076,0.0013,0.002857869853483248
CA,ushouse,6,12.5,0.1758689140605076,0.0013,0.002857869853483248
CA,ushouse,34,12.5,0.1758689140605076,0.0013,0.002857869853483248
MI,ushouse,14,12.5,0.1758689140605076,0.0013,0.002857869853483248
CT,ushouse,2,12.5,0.1758689140605076,0.0013,0.002857869853483248
CA,ushouse,17,12.5,0.1758689140605076,0.0013,0.002857869853483248
GA,ushouse,13,12.5,0.1758689140605076,0.0013,0.002857869853483248
MI,ushouse,9,12.5,0.1758689140605076,0.0013,0.002857869853483248
NY,ushouse,8,12.5,0.1758689140605076,0.0013,0.002857869853483248
TN,ushouse,9,12.5,0.1758689140605076,0.0013,0.002857869853483248
CA,ushouse,29,12.5,0.1758689140605076,0.0013,0.002857869853483248
NY,ushouse,7,12.5,0.1758689140605076,0.0013,0.002857869853483248
CA,ushouse,32,12.5,0.1758689140605076,0.0013,0.002857869853483248
HI,ushouse,1,12.5,0.1758689140605076,0.0013,0.002857869853483248
OH,statehouse,,0.4466154323904989,0.006019016634101442,1.0,0.0026881857166048207
CA,ushouse,40,12.5,0.1758689140605076,0.0012,0.0026380337109076133
IL,ushouse,4,12.5,0.1758689140605076,0.0012,0.0026380337109076133
CA,ushouse,33,12.5,0.1758689140605076,0.0012,0.0026380337109076133
CA,ushouse,44,12.5,0.1758689140605076,0.0012,0.0026380337109076133
VA,ushouse,3,12.5,0.1758689140605076,0.0012,0.0026380337109076133
VA,ushouse,8,12.5,0.1758689140605076,0.0012,0.0026380337109076133
CA,ushouse,41,12.5,0.1758689140605076,0.0012,0.0026380337109076133
CA,ushouse,50,12.5,0.1758689140605076,0.0012,0.0026380337109076133
WA,ushouse,1,12.5,0.1758689140605076,0.0012,0.0026380337109076133
WA,ushouse,6,12.5,0.1758689140605076,0.0012,0.0026380337109076133
CA,ushouse,19,12.5,0.1758689140605076,0.0012,0.0026380337109076133
WI,ushouse,2,12.5,0.1758689140605076,0.0012,0.0026380337109076133
MD,ushouse,3,12.5,0.1758689140605076,0.0012,0.0026380337109076133
PA,ushouse,5,12.5,0.1758689140605076,0.0012,0.0026380337109076133
NC,ushouse,11,12.5,0.1758689140605076,0.0012,0.0026380337109076133
PA,ushouse,4,12.5,0.1758689140605076,0.0012,0.0026380337109076133
FL,ushouse,27,12.5,0.1758689140605076,0.0012,0.0026380337109076133
MA,ushouse,4,12.5,0.1758689140605076,0.0012,0.0026380337109076133
FL,ushouse,14,12.5,0.1758689140605076,0.0012,0.0026380337109076133
FL,ushouse,23,12.5,0.1758689140605076,0.0012,0.0026380337109076133
MI,ushouse,12,12.5,0.1758689140605076,0.0012,0.0026380337109076133
OH,ushouse,13,12.5,0.1758689140605076,0.0012,0.0026380337109076133
CA,ushouse,53,12.5,0.1758689140605076,0.0012,0.0026380337109076133
NY,ushouse,17,12.5,0.1758689140605076,0.0012,0.0026380337109076133
FL,ushouse,10,12.5,0.1758689140605076,0.0012,0.0026380337109076133
IN,ushouse,7,12.5,0.1758689140605076,0.0012,0.0026380337109076133
NV,ushouse,1,12.5,0.1758689140605076,0.0012,0.0026380337109076133
GA,statehouse,,0.4019148113011762,0.006272582880591831,1.0,0.0025210439648240537
NJ,ushouse,6,12.5,0.1758689140605076,0.0011,0.002418197568331979
NJ,ushouse,8,12.5,0.1758689140605076,0.0011,0.002418197568331979
NJ,ushouse,11,12.5,0.1758689140605076,0.0011,0.002418197568331979
NY,ushouse,3,12.5,0.1758689140605076,0.0011,0.002418197568331979
NY,ushouse,15,12.5,0.1758689140605076,0.0011,0.002418197568331979
NY,ushouse,4,12.5,0.1758689140605076,0.0011,0.002418197568331979
TX,ushouse,9,12.5,0.1758689140605076,0.0011,0.002418197568331979
HI,ushouse,2,12.5,0.1758689140605076,0.0011,0.002418197568331979
MN,ushouse,3,12.5,0.1758689140605076,0.0011,0.002418197568331979
TX,ushouse,18,12.5,0.1758689140605076,0.0011,0.002418197568331979
CO,ushouse,1,12.5,0.1758689140605076,0.0011,0.002418197568331979
AZ,ushouse,2,12.5,0.1758689140605076,0.0011,0.002418197568331979
IL,ushouse,10,12.5,0.1758689140605076,0.0011,0.002418197568331979
CA,ushouse,51,12.5,0.1758689140605076,0.0011,0.002418197568331979
MA,ushouse,5,12.5,0.1758689140605076,0.0011,0.002418197568331979
TX,ushouse,25,12.5,0.1758689140605076,0.0011,0.002418197568331979
MA,ushouse,1,12.5,0.1758689140605076,0.0011,0.002418197568331979
IL,ushouse,11,12.5,0.1758689140605076,0.0011,0.002418197568331979
WA,ushouse,2,12.5,0.1758689140605076,0.0011,0.002418197568331979
VA,ushouse,10,12.5,0.1758689140605076,0.0011,0.002418197568331979
TX,ushouse,2,12.5,0.1758689140605076,0.0011,0.002418197568331979
VT,ushouse,1,12.5,0.1758689140605076,0.0011,0.002418197568331979
MA,ushouse,9,12.5,0.1758689140605076,0.001,0.0021983614257563445
MI,ushouse,6,12.5,0.1758689140605076,0.001,0.0021983614257563445
OH,ushouse,11,12.5,0.1758689140605076,0.001,0.0021983614257563445
CA,ushouse,7,12.5,0.1758689140605076,0.001,0.0021983614257563445
CA,ushouse,35,12.5,0.1758689140605076,0.001,0.0021983614257563445
WA,ushouse,9,12.5,0.1758689140605076,0.001,0.0021983614257563445
CT,ushouse,5,12.5,0.1758689140605076,0.001,0.0021983614257563445
NY,ushouse,14,12.5,0.1758689140605076,0.001,0.0021983614257563445
MO,statehouse,,0.2340717383258873,0.008518393540068817,1.0,0.001993915183667917
MO,statesenate,,0.2340717383258873,0.00846454760074659,1.0,0.001981311371048973
IL,ushouse,6,12.5,0.1758689140605076,0.0009,0.0019785252831807103
PA,ushouse,3,12.5,0.1758689140605076,0.0009,0.0019785252831807103
NJ,ushouse,5,12.5,0.1758689140605076,0.0009,0.0019785252831807103
CA,ushouse,52,12.5,0.1758689140605076,0.0009,0.0019785252831807103
AZ,ushouse,3,12.5,0.1758689140605076,0.0009,0.0019785252831807103
MA,ushouse,3,12.5,0.1758689140605076,0.0009,0.0019785252831807103
MD,ushouse,7,12.5,0.1758689140605076,0.0009,0.0019785252831807103
CA,ushouse,2,12.5,0.1758689140605076,0.0009,0.0019785252831807103
CA,ushouse,14,12.5,0.1758689140605076,0.0009,0.0019785252831807103
CA,ushouse,43,12.5,0.1758689140605076,0.0009,0.0019785252831807103
FL,ushouse,18,12.5,0.1758689140605076,0.0009,0.0019785252831807103
VA,ushouse,4,12.5,0.1758689140605076,0.0009,0.0019785252831807103
MA,statesenate,,0.2637085893457232,0.007105689307263102,1.0,0.0018738313035473418
UT,governor,,0.241551012684227,0.007678499376263787,1.0,0.0018547493002317229
TN,statehouse,,0.2586599893680127,0.0071686660119520615,1.0,0.0018542470744343544
TN,statesenate,,0.2586599893680127,0.006968035018999369,1.0,0.001802351863930317
WA,statehouse,,0.28791034103962804,0.006204787584077084,1.0,0.001786422509410083
IN,statesenate,,0.25567482061799585,0.006897795067581304,1.0,0.0017635925165635465
CA,ushouse,38,12.5,0.1758689140605076,0.0008,0.0017586891406050759
TX,ushouse,33,12.5,0.1758689140605076,0.0008,0.0017586891406050759
TX,ushouse,15,12.5,0.1758689140605076,0.0008,0.0017586891406050759
TX,ushouse,35,12.5,0.1758689140605076,0.0008,0.0017586891406050759
PA,ushouse,7,12.5,0.1758689140605076,0.0008,0.0017586891406050759
MD,ushouse,6,12.5,0.1758689140605076,0.0008,0.0017586891406050759
MD,ushouse,5,12.5,0.1758689140605076,0.0008,0.0017586891406050759
PA,ushouse,8,12.5,0.1758689140605076,0.0008,0.0017586891406050759
MA,statehouse,,0.2637085893457232,0.006668457222475832,1.0,0.0017585294472514013
IN,statehouse,,0.25567482061799585,0.006865312617685922,1.0,0.0017552875720133116
WA,statesenate,,0.28791034103962804,0.005886053294519452,1.0,0.0016946556114025215
WI,statesenate,,0.22211746172756303,0.007333045954893835,1.0,0.0016287975542325923
PA,ushouse,2,12.5,0.1758689140605076,0.0007,0.0015388529980294413
MI,ushouse,8,12.5,0.1758689140605076,0.0007,0.0015388529980294413
CA,ushouse,28,12.5,0.1758689140605076,0.0007,0.0015388529980294413
MO,ushouse,1,12.5,0.1758689140605076,0.0007,0.0015388529980294413
TX,ushouse,20,12.5,0.1758689140605076,0.0007,0.0015388529980294413
WI,statehouse,,0.22211746172756303,0.0068713168080665465,1.0,0.0015262394481336816
CO,statehouse,,0.2176089139727764,0.006954071818943582,1.0,0.0015132680162090028
CO,statesenate,,0.2176089139727764,0.006908332542760533,1.0,0.0015033147419929085
